Mag Bin,Sector,TIC,Is Real,Comments,Rp,Tc,Depth,Duration,Tau,Rad,Mass,Teff,RA,DEC,Tmag,Vmag,Jmag
12,18,334753869,0,J,27.62470933,1814.582186,0.012792041,7.113169825,1.233633015,2.2204199,0.97000003,5515,246.4315056,62.90384563,11.2252,11.849,10.531
12,18,334779935,0,,11.09562029,1814.682098,0.013529642,2.994910779,0.795948094,0.86719298,0.97899997,5557,247.4055791,61.54272576,11.6271,12.275,10.815
12,18,335483394,0,J,16.40874199,1814.494295,0.018670959,5.996025026,0.772828015,1.0916899,1.14,6084,332.5808532,63.62044881,11.9193,12.59,11.179
12,18,336120851,0,J,14.07760187,1801.715148,0.005959544,1.886483555,0.172284974,1.6577899,1.2,6231,315.4106928,75.11922792,11.3703,12.037,10.479
12,18,338994606,0,J,32.50016862,1796.648523,0.007330926,3.233039785,0.569124814,3.4507501,1.9,7917,341.0092496,62.86216767,11.3117,12.161,10.497
12,18,346455548,0,,19.81116328,1792.04099,0.021168912,7.631094782,1.338850008,1.23785,1.08,5923,0.137135738,59.15877471,11.9316,12.647,11.179
12,18,346786317,1,Multiple transits,20.65046017,1808.314631,0.016633284,9.211716174,1.214828555,1.4556201,1.34,6515,47.09888638,40.72477367,11.7776,11.986,11.233
12,18,346926916,0,,9.279586117,1801.965322,0.013733251,4.139658673,1.675804908,0.71986198,0.78899997,4851,0.622366512,59.64289699,11.6438,12.475,10.78
12,18,352518122,0,J,25.08552343,1814.735897,0.057390983,3.345265046,0.686587976,0.95193797,1.47,6821,19.80457772,66.83009663,11.7188,12.351,11.048
12,18,352812109,0,,13.39785976,1813.764143,0.006408617,13.61450657,1.4286393,1.5214601,,6401.6802,53.16051337,36.89813327,11.6532,12.425,10.788
12,18,353555881,0,,8.836977608,1814.638592,0.011304188,8.395204945,1.823528964,0.75559902,0.90100002,5261,33.90568793,68.69326429,11.3373,11.96,10.589
12,18,354167700,0,J,11.2378031,1802.239415,0.006864502,2.493042992,0.281828643,1.23306,1.05,5828,346.1054417,72.20246974,11.986,12.6,11.259
12,18,354290110,0,J,21.27262219,1802.039209,0.019250005,3.234441756,0.455803438,1.39384,1.063,5872,346.557547,74.36915451,11.5414,12.172,10.87
12,18,354315503,1,EB,31.57080347,1805.658909,0.027596836,7.546318211,3.351746054,1.72768,1.21,6250,27.78076717,53.83894427,11.5313,11.636,10.96
12,18,354598115,0,Variable source,21.04120577,1803.987576,0.01542056,8.027902592,2.032254946,1.54038,1.6,7173,6.050408157,58.76585889,11.9722,12.483,11.367
12,18,354625981,0,Variable source,32.90417195,1807.521735,0.023379347,9.614372258,4.31602695,1.9563299,1.49,6876,28.75974052,50.71290953,11.1663,11.502,10.686
12,18,354637349,0,,24.63706935,1793.277664,0.018907577,9.141915268,1.186577351,1.62884,1.59,7144.7998,52.91173365,49.40998566,11.6292,12.15,11.021
12,18,354791951,0,,10.58787949,1803.951371,0.026410078,1.931576642,0.328828222,0.59228599,0.58174902,3877,52.95354151,48.75720656,11.7131,13.402,10.534
12,18,355890151,0,,22.62936508,1800.831397,0.010460534,4.610887193,0.570647151,2.01142,1.14,6093,54.50706723,58.30200282,11.8126,12.677,10.974
12,18,356894401,0,Blend,16.95303456,1810.282272,0.01879547,8.405139726,4.317642671,1.1241601,1.029,5754,273.2204217,58.74522359,11.6424,12.232,11.033
12,18,359128977,0,J,9.882313657,1802.335544,0.006510376,2.80093743,0.296835394,1.11343,1.049,5824,1.864651142,64.24467103,11.5073,12.124,10.883
12,18,359247841,0,,21.17063723,1814.843615,0.01615555,5.19319387,2.483368352,1.51419,1.23,6291,1.784898216,60.56862423,11.4868,11.93,10.867
12,18,359334962,0,,14.96863631,1802.084957,0.00691386,5.593841141,0.458401167,1.6365499,1.1799999,6178,2.114786404,62.98852936,11.3975,11.8,10.659
12,18,359345813,0,,19.52926092,1801.839511,0.00505573,8.381742646,0.635887033,2.4969001,1.71,7443,4.617099462,65.03645302,11.7928,12.497,11.004
12,18,359430575,0,J,7.081427582,1802.165253,0.001967352,9.132379108,0.438030415,1.4514,1.0599999,5862,4.705879752,64.20295375,11.3747,11.757,10.648
12,18,359585335,0,J,16.44028496,1814.59584,0.005364513,4.067611198,0.305038617,2.04057,1.47,6809,279.7251984,57.48321675,11.6618,12.142,11.205
12,18,359982128,0,J,27.40680401,1801.042068,0.008454397,6.124807025,0.572052597,2.7097199,1.3099999,6463,300.4244655,66.79229511,11.4543,11.9965,10.824
12,18,362103424,0,,24.26159714,1814.248063,0.056086618,6.373050177,1.257246142,0.93131602,1.051,5831,268.1928762,66.39708569,11.6807,12.168,11.096
12,18,362103921,0,Blend,17.04233558,1792.443206,0.036545534,5.057586585,2.587506297,0.81043702,0.81800002,4959,268.1859792,67.64239643,11.4705,12.276,10.563
12,18,362132147,0,J,13.54571162,1814.419706,0.004936994,6.021382995,0.494100091,1.75258,1.42,6698,270.915194,58.55708033,11.9883,12.332,11.547
12,18,363809020,1,PC,15.99490631,1799.917908,0.007177721,3.228620645,0.372233844,1.71631,,4974,5.878728392,68.44164481,11.7524,12.656,10.887
12,18,363812045,0,,22.63396642,1814.622214,0.006357275,4.34659489,0.388868847,2.5806701,1.91,7937,5.740744654,67.16269626,11.763,12.566,10.955
12,18,365673595,0,,10.5937983,1814.620624,0.005087402,3.838622108,0.293968275,1.35024,1.052,5836,313.2574345,64.02659979,11.9838,12.674,11.22
12,18,366026167,0,,36.96271435,1802.184657,0.014429519,3.973284177,1.858117818,2.7973399,1.6,7178,356.4447672,65.95389144,11.6517,12.379,10.88
12,18,366471479,0,,27.20891457,1814.599068,0.015312505,4.093477096,1.878527255,1.99892,1.17,6155,330.2405734,72.68285841,11.565,12.401,10.932
12,18,368100256,1,,6.791613283,1800.498654,0.005661319,5.104538819,0.447933457,0.82058102,1.0369999,5783,356.994304,65.96184599,11.8362,12.527,11.181
12,18,368109580,0,,35.84566722,1814.654132,0.024761087,2.218935927,0.62652924,2.0709,2.03,8267,357.2340056,69.72884619,11.9256,12.255,11.391
12,18,368518999,1,,20.37296166,1813.742072,0.036865444,1.972713165,0.829396866,0.96460998,0.82999998,5005,11.95620085,67.07875224,11.5022,12.325,10.629
12,18,369239788,0,,7.646603684,1814.614433,0.00576792,5.803720564,0.447664869,0.91530597,1.528,6971,31.0463512,69.086494,11.0141,11.489,10.31
12,18,369727757,0,J,11.80059494,1792.140974,0.004521451,4.36778183,0.342101013,1.59541,2.03,8258,3.825845497,57.52350284,11.7381,11.662,11.408
